cpu_id,title,price,href,image
45,AMD 라이젠5-4세대5600GT(세잔),204700,https://prod.danawa.com/info/?pcode=60167690&keyword=5600GT&cate=113990,https://img.danuri.io/catalog-image/690/167/060/a922a03bc40a4fca92cc948f0048d21a.jpg
46,AMD 라이젠5-4세대5600X(버미어),960000,https://prod.danawa.com/info/?pcode=12625265&keyword=5600X&cate=113990,https://img.danuri.io/catalog-image/265/625/012/ae11273cf1854e46873670b244e18469.jpg
47,AMD 라이젠7-4세대5700X(버미어),299860,https://prod.danawa.com/info/?pcode=16741349&keyword=5700X&cate=113990,https://img.danuri.io/catalog-image/349/741/016/57d76ed6f1054e0092b9878f4e654167.jpg
48,AMD 라이젠7-4세대5800X(버미어),358400,https://prod.danawa.com/info/?pcode=12872369&keyword=5800X&cate=113990,https://img.danuri.io/catalog-image/369/872/012/e643a81ed24f4b948ac161da3aede436.jpg
49,AMD 라이젠7-4세대5800X3DAM4 10주년 기념 에디션 (버미어),588660,https://prod.danawa.com/info/?pcode=122711750&keyword=5800X3D&cate=113990,https://img.danuri.io/catalog-image/750/711/122/0765bf4fb5d74b9a91c93eac0f232f58.jpeg
50,AMD 라이젠5-5세대7500F(라파엘),174370,https://prod.danawa.com/info/?pcode=21694499&keyword=7500F&cate=113990,https://img.danuri.io/catalog-image/499/694/021/def25f4b749f47b499d21a4023537502.jpg
51,AMD 라이젠5-5세대7500X3D(라파엘),318980,https://prod.danawa.com/info/?pcode=104223188&keyword=7500X3D&cate=113990,https://img.danuri.io/catalog-image/188/223/104/024ce0eba5f0448fab82a5962975de0d.jpg
52,세신버팔로 고무자루 다가네 십자 드라이버7600(PH2 x 100mm),2850,https://prod.danawa.com/info/?pcode=29807495&keyword=7600&cate=14243294,https://img.danuri.io/catalog-image/495/807/029/98bc2fcda82447bf898e097b87a2417b.jpg
53,AMD 라이젠5-5세대7600X(라파엘),340000,https://prod.danawa.com/info/?pcode=27757619&keyword=7600X&cate=113990,https://img.danuri.io/catalog-image/619/757/027/401fe76f11614244af4830e37873f663.jpg
54,인터페이스 VEML7700주변 광 센서 모듈 16 비트 I2C 밝은 광 센서,7130,https://prod.danawa.com/info/?pcode=75742970&keyword=7700&cate=18331907,https://img.danuri.io/catalog-image/970/742/075/0f994604a0804638b5164b4f94dbbf37.jpg
55,AMD 라이젠7-5세대7700X(라파엘),363990,https://prod.danawa.com/info/?pcode=27945140&keyword=7700X&cate=113990,https://img.danuri.io/catalog-image/140/945/027/b7f63096e7e445e19ea42c5c5153e305.jpg
56,AMD 라이젠7-5세대7800X3D(라파엘),446980,https://prod.danawa.com/info/?pcode=19627934&keyword=7800X3D&cate=113990,https://img.danuri.io/catalog-image/934/627/019/06dbb694db084f5b8ddca38ffa95d717.jpg
57,AMD 라이젠5-5세대8600G(피닉스),270850,https://prod.danawa.com/info/?pcode=60170204&keyword=8600G&cate=113990,https://img.danuri.io/catalog-image/204/170/060/aa27cf4ab30a4e05bcc9321292e58654.jpg
58,AMD 라이젠7-5세대8700G(피닉스),414980,https://prod.danawa.com/info/?pcode=58933169&keyword=8700G&cate=113990,https://img.danuri.io/catalog-image/169/933/058/ee8db602bea340d98e08afa99c3f2a7a.jpg
59,AMD 라이젠5-6세대9500F(그래니트 릿지),219000,https://prod.danawa.com/info/?pcode=97704881&keyword=9500F&cate=113990,https://img.danuri.io/catalog-image/881/704/097/71d47148647d4c56abf5802e5e8c44a1.jpeg
60,AMD 라이젠5-6세대9600X(그래니트 릿지),263860,https://prod.danawa.com/info/?pcode=62794079&keyword=9600X&cate=113990,https://img.danuri.io/catalog-image/079/794/062/a21e7ef2993f4154ba69804f7264dde5.jpg
61,AMD 라이젠7-6세대9700X(그래니트 릿지),370400,https://prod.danawa.com/info/?pcode=62794082&keyword=9700X&cate=113990,https://img.danuri.io/catalog-image/082/794/062/87e11a2d022646898224f79f01fc402b.jpg
62,AMD 라이젠7-6세대9800X3D(그래니트 릿지),649420,https://prod.danawa.com/info/?pcode=70531547&keyword=9800X3D&cate=113990,https://img.danuri.io/catalog-image/547/531/070/749fd202aa5d4ebaac1438998c3addd2.jpeg
63,AMD 라이젠7-6세대9850X3D(그래니트 릿지),721580,https://prod.danawa.com/info/?pcode=104627873&keyword=9850X3D&cate=113990,https://img.danuri.io/catalog-image/873/627/104/b5f564ff6f4347658844c3feb6f2e965.jpg
64,AMD 라이젠9-6세대9900X(그래니트 릿지),642750,https://prod.danawa.com/info/?pcode=63140387&keyword=9900X&cate=113990,https://img.danuri.io/catalog-image/387/140/063/79f289fdd4a24638b3d962033adc4db3.jpg
65,AMD 라이젠9-6세대9950X(그래니트 릿지),819990,https://prod.danawa.com/info/?pcode=63140417&keyword=9950X&cate=113990,https://img.danuri.io/catalog-image/417/140/063/8b3e09b7b0f344798024a07b1e4d770b.jpg
66,AMD 라이젠9-6세대9950X3D(그래니트 릿지),1075020,https://prod.danawa.com/info/?pcode=77790914&keyword=9950X3D&cate=113990,https://img.danuri.io/catalog-image/914/790/077/f80e6f0109e4459da565e989f77c7c8a.jpg
67,AMD EPYC4585PX(그라도),878500,https://prod.danawa.com/info/?pcode=92678627&keyword=4585PX&cate=113990,https://img.danuri.io/catalog-image/627/678/092/cbea0553c9e9475e943e8bc65583bf76.jpg
