cpu_id,keyword,brand,series,benchmark,socket,price,href,image,performance_score,game_score,work_score,ai_score,value_score
46,5600X,AMD,Ryzen 5,21830,AM4,960000,https://prod.danawa.com/info/?pcode=12625265&keyword=5600X&cate=113990,https://img.danuri.io/catalog-image/265/625/012/ae11273cf1854e46873670b244e18469.jpg,68.31,68.31,69.89,69.48,60.0
47,5700X,AMD,Ryzen 7,26568,AM4,299860,https://prod.danawa.com/info/?pcode=16741349&keyword=5700X&cate=113990,https://img.danuri.io/catalog-image/349/741/016/57d76ed6f1054e0092b9878f4e654167.jpg,71.42,71.42,72.85,72.28,60.02
48,5800X,AMD,Ryzen 7,27672,AM4,358400,https://prod.danawa.com/info/?pcode=12872369&keyword=5800X&cate=113990,https://img.danuri.io/catalog-image/369/872/012/e643a81ed24f4b948ac161da3aede436.jpg,72.14,72.14,73.53,72.93,60.02
49,5800X3D,AMD,Ryzen 7,28295,AM4,588660,https://prod.danawa.com/info/?pcode=122711750&keyword=5800X3D&cate=113990,https://img.danuri.io/catalog-image/750/711/122/0765bf4fb5d74b9a91c93eac0f232f58.jpeg,72.55,72.55,73.92,73.3,60.01
50,7500F,AMD,Ryzen 5,26544,AM5,174370,https://prod.danawa.com/info/?pcode=21694499&keyword=7500F&cate=113990,https://img.danuri.io/catalog-image/499/694/021/def25f4b749f47b499d21a4023537502.jpg,71.4,71.4,72.83,72.26,60.04
51,7500X3D,AMD,Ryzen 5,25075,AM5,318980,https://prod.danawa.com/info/?pcode=104223188&keyword=7500X3D&cate=113990,https://img.danuri.io/catalog-image/188/223/104/024ce0eba5f0448fab82a5962975de0d.jpg,70.44,70.44,71.92,71.4,60.02
52,7600,AMD,Ryzen 5,26977,AM5,2850,https://prod.danawa.com/info/?pcode=29807495&keyword=7600&cate=14243294,https://img.danuri.io/catalog-image/495/807/029/98bc2fcda82447bf898e097b87a2417b.jpg,71.69,71.69,73.11,72.52,62.84
53,7600X,AMD,Ryzen 5,28283,AM5,340000,https://prod.danawa.com/info/?pcode=27757619&keyword=7600X&cate=113990,https://img.danuri.io/catalog-image/619/757/027/401fe76f11614244af4830e37873f663.jpg,72.54,72.54,73.91,73.29,60.02
54,7700,AMD,Ryzen 7,34334,AM5,7130,https://prod.danawa.com/info/?pcode=75742970&keyword=7700&cate=18331907,https://img.danuri.io/catalog-image/970/742/075/0f994604a0804638b5164b4f94dbbf37.jpg,76.51,76.51,77.68,76.86,61.44
55,7700X,AMD,Ryzen 7,35513,AM5,363990,https://prod.danawa.com/info/?pcode=27945140&keyword=7700X&cate=113990,https://img.danuri.io/catalog-image/140/945/027/b7f63096e7e445e19ea42c5c5153e305.jpg,77.29,77.29,78.43,77.56,60.02
56,7800X3D,AMD,Ryzen 7,34278,AM5,446980,https://prod.danawa.com/info/?pcode=19627934&keyword=7800X3D&cate=113990,https://img.danuri.io/catalog-image/934/627/019/06dbb694db084f5b8ddca38ffa95d717.jpg,76.48,76.48,77.66,76.83,60.02
57,8600G,AMD,Ryzen 5,25189,AM5,270850,https://prod.danawa.com/info/?pcode=60170204&keyword=8600G&cate=113990,https://img.danuri.io/catalog-image/204/170/060/aa27cf4ab30a4e05bcc9321292e58654.jpg,70.51,70.51,71.98,71.46,60.02
58,8700G,AMD,Ryzen 7,31519,AM5,414980,https://prod.danawa.com/info/?pcode=58933169&keyword=8700G&cate=113990,https://img.danuri.io/catalog-image/169/933/058/ee8db602bea340d98e08afa99c3f2a7a.jpg,74.67,74.67,75.94,75.2,60.02
59,9500F,AMD,Ryzen 5,28343,AM5,219000,https://prod.danawa.com/info/?pcode=97704881&keyword=9500F&cate=113990,https://img.danuri.io/catalog-image/881/704/097/71d47148647d4c56abf5802e5e8c44a1.jpeg,72.58,72.58,73.95,73.32,60.03
60,9600X,AMD,Ryzen 5,30101,AM5,263860,https://prod.danawa.com/info/?pcode=62794079&keyword=9600X&cate=113990,https://img.danuri.io/catalog-image/079/794/062/a21e7ef2993f4154ba69804f7264dde5.jpg,73.74,73.74,75.05,74.37,60.03
61,9700X,AMD,Ryzen 7,37011,AM5,370400,https://prod.danawa.com/info/?pcode=62794082&keyword=9700X&cate=113990,https://img.danuri.io/catalog-image/082/794/062/87e11a2d022646898224f79f01fc402b.jpg,78.27,78.27,79.36,78.44,60.02
62,9800X3D,AMD,Ryzen 7,39951,AM5,649420,https://prod.danawa.com/info/?pcode=70531547&keyword=9800X3D&cate=113990,https://img.danuri.io/catalog-image/547/531/070/749fd202aa5d4ebaac1438998c3addd2.jpeg,80.2,80.2,81.19,80.18,60.01
63,9850X3D,AMD,Ryzen 7,41328,AM5,721580,https://prod.danawa.com/info/?pcode=104627873&keyword=9850X3D&cate=113990,https://img.danuri.io/catalog-image/873/627/104/b5f564ff6f4347658844c3feb6f2e965.jpg,81.1,81.1,82.04,80.99,60.01
64,9900X,AMD,Ryzen 9,54371,AM5,642750,https://prod.danawa.com/info/?pcode=63140387&keyword=9900X&cate=113990,https://img.danuri.io/catalog-image/387/140/063/79f289fdd4a24638b3d962033adc4db3.jpg,89.66,89.66,90.18,88.69,60.02
65,9950X,AMD,Ryzen 9,65748,AM5,819990,https://prod.danawa.com/info/?pcode=63140417&keyword=9950X&cate=113990,https://img.danuri.io/catalog-image/417/140/063/8b3e09b7b0f344798024a07b1e4d770b.jpg,97.13,97.13,97.27,95.42,60.02
66,9950X3D,AMD,Ryzen 9,70129,AM5,1075020,https://prod.danawa.com/info/?pcode=77790914&keyword=9950X3D&cate=113990,https://img.danuri.io/catalog-image/914/790/077/f80e6f0109e4459da565e989f77c7c8a.jpg,100.0,100.0,100.0,98.0,60.01
67,4585PX,AMD,EPYC,68908,SP5,878500,https://prod.danawa.com/info/?pcode=92678627&keyword=4585PX&cate=113990,https://img.danuri.io/catalog-image/627/678/092/cbea0553c9e9475e943e8bc65583bf76.jpg,99.2,99.2,99.24,97.28,60.02
